exp,data_dir,gcn_ap,h2gcn_ap,gcn_macro_f1,h2gcn_macro_f1,actual_h,l_mean,num_labels,density,clustering,unlabeled,feature_dim,li
Exp11,data\synthetic\exp11_label_imbalance\balanced_h0.4,0.5981437138747404,0.7052272132910832,0.6150353308503529,0.6875718539285495,0.39647895160323904,2.292333333333333,20,0.04353406691119262,0.4163809643745768,0.016,,0.2528862442554924
Exp11,data\synthetic\exp11_label_imbalance\mild_skew_h0.4,0.5531877916984418,0.6718910877872556,0.4986368798755114,0.637892605429207,0.38316752424133077,2.5176666666666665,20,0.04223163276647771,0.3889103893111681,0.013,,0.1938454565545418
Exp11,data\synthetic\exp11_label_imbalance\strong_skew_h0.4,0.5200467045779399,0.6503476905297092,0.4180586452073267,0.6264670791837763,0.4103609627765285,2.454,20,0.04512637545848616,0.40879680626104087,0.011666666666666667,,0.19146687699581635
Exp11,data\synthetic\exp11_label_imbalance\strong_skew_unlab20_h0.4,0.4966744483259647,0.5160370502038608,0.2381535304361592,0.28080278006824266,0.4002381459749208,1.9533333333333334,20,0.051832166277648105,0.439188850125872,0.20866666666666667,,0.6171090874878816
Exp11,data\synthetic\exp11_label_imbalance\strong_skew_unlab40_h0.4,0.4407635888508026,0.45255727874778157,0.13134796098952575,0.14423363903459915,0.4050311884438608,1.491,20,0.16908902967655887,0.6110042244154125,0.4063333333333333,,0.6927102104632504
Exp12,data\synthetic\exp12_li_sweep\selected\h0.4_li1,0.5305794733413773,0.6466202385915955,0.4114563592977425,0.5902931655836218,0.3952788768328161,3.820666666666667,20,0.031852839835500725,0.25152942232493447,0.007333333333333333,,0.081278447455546
Exp12,data\synthetic\exp12_li_sweep\selected\h0.4_li2,0.37904098282708665,0.5172717057479107,0.31541319282210123,0.488552968117377,0.39368489435334353,4.390333333333333,28,0.01385995331777259,0.22213439681158084,0.004333333333333333,,0.0896980239138069
Exp12,data\synthetic\exp12_li_sweep\selected\h0.4_li3,0.4207689764660443,0.5103142202409842,0.35076402711830074,0.48806222699782037,0.4048611670652271,4.344666666666667,27,0.013456485495165055,0.22689956199871764,0.004666666666666667,,0.1028581073652323
Exp12,data\synthetic\exp12_li_sweep\selected\h0.4_li4,0.32206262389653123,0.425377912427946,0.27215873270520113,0.4132401981705544,0.4032062270825451,4.113,31,0.010846059797710347,0.2945015722291915,0.0033333333333333335,,0.128307918459417
Exp12,data\synthetic\exp12_li_sweep\selected\h0.6_li1,0.2497216404665368,0.36019441805015034,0.22803559765235512,0.35822506124094855,0.6132971156137573,4.490666666666667,35,0.004903189952206291,0.24659584501395973,0.0016666666666666668,,0.1295121020882347
Exp12,data\synthetic\exp12_li_sweep\selected\h0.6_li2,0.3335109187096649,0.4253129680206406,0.2849841997607935,0.43202684266850494,0.6105708028163472,4.574666666666666,32,0.0041489385350672444,0.228700383748648,0.003,,0.2009672021858126
Exp12,data\synthetic\exp12_li_sweep\selected\h0.6_li3,0.49221962126796454,0.5439277421545747,0.4296265935695747,0.5455057526455049,0.5837347229473088,4.435333333333333,26,0.006247415805268423,0.2698100345134099,0.005333333333333333,,0.2090004284861377
Exp12,data\synthetic\exp12_li_sweep\selected\h0.6_li4,0.3025790946620379,0.39382689176080454,0.26757336077971583,0.3925731204238861,0.5999260412432701,4.913333333333333,36,0.0021960653551183727,0.17264575214542505,0.0013333333333333333,,0.2631134400986231
Exp13,data\synthetic\exp13_coverage_gaps\C10_h0.2_h0.2,0.3920794120666928,0.6878107134159008,0.2812725716494788,0.6455020926120651,0.21005839963342549,2.365666666666667,10,0.9379815494053574,0.9497711645368954,0.009666666666666667,,0.00011117803851558146
Exp13,data\synthetic\exp13_coverage_gaps\C10_h0.4_h0.4,0.7825677270590606,0.8825657246451794,0.646185173857015,0.8160441144535276,0.4058440768518843,2.365666666666667,10,0.23379081916194286,0.46067999155607625,0.009666666666666667,,0.04020790555814659
Exp13,data\synthetic\exp13_coverage_gaps\C10_h0.6_h0.6,0.9036867547237852,0.924731891722796,0.8368064786314234,0.8709607853574189,0.606607010629905,2.365666666666667,10,0.09095342892075137,0.4389172601998152,0.009666666666666667,,0.15800636827962344
Exp13,data\synthetic\exp13_coverage_gaps\C40_h0.2_h0.2,0.2516430843159477,0.3868091518101813,0.21228981559981108,0.26524313091331436,0.18335787556385774,6.468666666666667,40,0.39091030343447813,0.7017606271416068,0.001,,0.0009868761273561218
Exp13,data\synthetic\exp13_coverage_gaps\C40_h0.3_h0.3,0.31597086083439124,0.4442713790372918,0.28237360047030413,0.4026307377154632,0.29506981169627855,6.468666666666667,40,0.019124597087918194,0.38442152456384465,0.001,,0.031137983684679835
Exp13,data\synthetic\exp13_coverage_gaps\C40_h0.5_h0.5,0.33520039057824674,0.44394951320622117,0.3322135782293944,0.41006482256492766,0.5036532599651862,6.468666666666667,40,0.0014009114149160832,0.1162926051252502,0.001,,0.16253977108085343
Exp13,data\synthetic\exp13_coverage_gaps\C40_h0.6_h0.6,0.339543866685277,0.4532045721980132,0.3369422886209414,0.4155845653384542,0.5983768466605572,6.468666666666667,40,0.0009040791374902745,0.0879221860941988,0.001,,0.2561800025536226
Exp13,data\synthetic\exp13_coverage_gaps\C40_h0.8_h0.8,0.33985656698281774,0.4531597804976519,0.3353209999003026,0.42088016713319387,0.6026826474310201,6.468666666666667,40,0.0008885183950205624,0.0849537823090781,0.001,,0.2609151889292835
Exp13,data\synthetic\exp13_coverage_gaps\C5_h0.2_h0.2,0.2859097421346082,0.8106767455486216,0.2967562026069543,0.776027969104733,0.25789020101087745,1.4063333333333334,5,0.49986728909636546,0.4998658155912925,0.028333333333333332,,2.950826352241516e-07
Exp13,data\synthetic\exp13_coverage_gaps\C60_h0.35_h0.35,0.2307819258644662,0.3462705631980823,0.23539389332055558,0.3104119697583591,0.3470411486959717,8.422333333333333,60,0.0005964210292319662,0.06670913203465273,0.0006666666666666666,,0.1253797025875615
Exp13,data\synthetic\exp13_coverage_gaps\F100_h0.2_h0.2,0.20021120360726996,0.4406616467692018,0.08444829036630057,0.3252600451653131,0.2097267979439766,2.1283333333333334,20,0.12539513171057018,0.38930424021089743,0.05566666666666667,,0.07388191480909011
Exp13,data\synthetic\exp13_coverage_gaps\F100_h0.4_h0.4,0.21674266757441182,0.5727026572668524,0.1067950233945399,0.43514451339091464,0.40270009843294463,2.1283333333333334,20,0.03140646882294098,0.2663199752436867,0.05566666666666667,,0.31888054554298656
Exp13,data\synthetic\exp13_coverage_gaps\F100_h0.6_h0.6,0.41495430598214383,0.515891195526624,0.31567378069934465,0.44880583866387996,0.5939288218084029,2.1283333333333334,20,0.017984216961209294,0.34299077449407733,0.05566666666666667,,0.5732892476142933
Exp13,data\synthetic\exp13_coverage_gaps\F200_h0.2_h0.2,0.19932124276813842,0.41305918644349676,0.06970025010381807,0.29362604093890615,0.20137718328161244,2.022666666666667,20,0.138919862176281,0.4132445714264548,0.06733333333333333,,0.07708162465193544
Exp13,data\synthetic\exp13_coverage_gaps\F200_h0.6_h0.6,0.396430136639651,0.5345327187639713,0.312654043159945,0.4249365653201856,0.5992102137767221,2.022666666666667,20,0.019486717794820495,0.36902283865585334,0.06733333333333333,,0.5904856476863259
Exp13,data\synthetic\exp13_coverage_gaps\F300_h0.2_h0.2,0.2301244168754172,0.4904495871152838,0.08589503648208047,0.3423300990820967,0.21873627090800551,2.066666666666667,20,0.13153317772590864,0.4026016418616854,0.058666666666666666,,0.07792026585420755
Exp13,data\synthetic\exp13_coverage_gaps\F300_h0.6_h0.6,0.3838629968718039,0.4881800282422201,0.3210320060961047,0.38339833268635576,0.6027911239481211,2.066666666666667,20,0.01943181060353451,0.3668969726084935,0.058666666666666666,,0.5603798748227525
Exp13,data\synthetic\exp13_coverage_gaps\F50_h0.2_h0.2,0.2339320580924086,0.5742337318995105,0.11269612353649004,0.466619255425533,0.2187292179809572,2.404,20,0.1756052017339113,0.6080984608988754,0.024666666666666667,,0.04121608416959828
Exp13,data\synthetic\exp13_coverage_gaps\F50_h0.6_h0.6,0.5062688139154506,0.5883360887347966,0.3985989551248596,0.5444719249990069,0.6070233297442642,2.404,20,0.013911970656885628,0.3075488595146687,0.024666666666666667,,0.4348364166957376
Exp13,data\synthetic\exp13_coverage_gaps\h0.2_lm_mid_h0.2,0.536117876645026,0.7275390525572266,0.404435111058159,0.6548528722099471,0.19039317892510838,4.114333333333334,20,0.2199017450261198,0.5791718470934234,0.008,,0.01014674545370933
Exp13,data\synthetic\exp13_coverage_gaps\h0.4_lm_high_h0.4,0.7462516224948222,0.8316279257156637,0.634898531926386,0.7595096311485633,0.41264545035767874,6.3693333333333335,20,0.03466333222185173,0.25660880692560634,0.0033333333333333335,,0.02280570145817849
