model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap,ap_micro,ap_per_label
GCN,balanced_h0.4,data\synthetic\exp11_label_imbalance\balanced_h0.4,0,0.6,256,0.01,0.0005,299,0.6344307270233196,0.6271248536103725,0.8908796393606725,0.6014268041420119,0.5930678543759856,"[0.7920605302994942, 0.512000329465948, 0.7616919426879744, 0.6976513825607918, 0.4183693868364648, 0.5829654797721823, 0.6030894917009795, 0.6061550607203996, 0.6572884740002742, 0.43559607273423034, 0.6647822943343795, 0.8054910949077337, 0.660971188173651, 0.7139083934735407, 0.4122125076600569, 0.6279702055455115, 0.3657806156117118, 0.5394489636959005, 0.5873256807420048, 0.5837769879170078]"
GCN,balanced_h0.4,data\synthetic\exp11_label_imbalance\balanced_h0.4,1,0.6,256,0.01,0.0005,299,0.6161268090971743,0.6077515876258712,0.8962450932885991,0.6080856003931772,0.597560040284028,"[0.8378313464324645, 0.5988013476993956, 0.7196580747379235, 0.7637148612767322, 0.5148146592380501, 0.5792725246927746, 0.5198921886231117, 0.5322640465047133, 0.6736079643671814, 0.41980721506348956, 0.5491420613640074, 0.705443131235227, 0.6698929251791077, 0.5635625846547792, 0.5373825078258098, 0.6729106161390871, 0.5721420670538981, 0.425290874633228, 0.6297020926503797, 0.6765789184921833]"
GCN,balanced_h0.4,data\synthetic\exp11_label_imbalance\balanced_h0.4,2,0.6,256,0.01,0.0005,299,0.6140468227424749,0.6102295513148148,0.8813927487453832,0.584918737089032,0.5781689600111228,"[0.7491304204534333, 0.6422204907682375, 0.6541767045832327, 0.7783956670471746, 0.4815606088821413, 0.5274252220976021, 0.5831274555015372, 0.5690609898903617, 0.5640001341805851, 0.3780670693945673, 0.6196633840642418, 0.7629392051814131, 0.6897967614880408, 0.5757062541419162, 0.440186470897317, 0.6620023216025149, 0.5220796530755882, 0.3001569804651926, 0.5597220755712323, 0.6389568724943125]"
GCN,mild_skew_h0.4,data\synthetic\exp11_label_imbalance\mild_skew_h0.4,0,0.6,256,0.01,0.0005,299,0.5944758317639673,0.5126054260587276,0.8679062283709023,0.5538174043421761,0.616768042298716,"[0.3206751982673959, 0.2940011455481416, 0.5809902497300137, 0.6641647487189355, 0.4376900444946079, 0.3631907579586213, 0.3802820756138243, 0.39090149478964387, 0.512856668890229, 0.22450401527758296, 0.5591289738008446, 0.6019523835659408, 0.7913813184273241, 0.5204380714957827, 0.466987461945484, 0.6312823513610561, 0.7124966367617822, 0.8357246224227042, 0.8408607118155498, 0.9468391559580586]"
GCN,mild_skew_h0.4,data\synthetic\exp11_label_imbalance\mild_skew_h0.4,1,0.6,256,0.01,0.0005,299,0.5684596577017115,0.4820221307270202,0.8635821406768945,0.5644564588648308,0.6242202064672298,"[0.44207937504246225, 0.35256140382994405, 0.5561459891540873, 0.584628262839291, 0.3595295837616318, 0.28913182163851153, 0.3150638325596464, 0.3711437495641791, 0.6427988449712958, 0.36371820357108653, 0.5811426486312836, 0.7534520472981955, 0.7958970107198469, 0.6147407482941216, 0.4875354171667305, 0.6077097727043071, 0.7420159706406299, 0.7285896489890623, 0.7741057850332682, 0.927139060887032]"
GCN,mild_skew_h0.4,data\synthetic\exp11_label_imbalance\mild_skew_h0.4,2,0.6,256,0.01,0.0005,253,0.5796407185628742,0.5012830828407863,0.8463018809137839,0.5412895118883184,0.6001234926576068,"[0.33379385704090275, 0.3092347728795359, 0.5970733818240103, 0.6333828417136316, 0.4553605042662199, 0.42315555798938714, 0.23168197433903626, 0.3886952248417205, 0.6114134144589569, 0.2309740347592475, 0.4788041792632365, 0.7148455088447063, 0.7383857453290358, 0.5045635496622541, 0.5548724094044953, 0.5829318202205509, 0.693605835751613, 0.7105994770499278, 0.7474838131798257, 0.8849323349480741]"
GCN,strong_skew_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_h0.4,0,0.6,256,0.01,0.0005,299,0.5501557632398754,0.41647601030132597,0.849272717997666,0.5249087739420428,0.6186455418658098,"[0.18753465566485228, 0.2586726100668468, 0.3586402894166377, 0.44236250897075546, 0.400235225168859, 0.4638952149743928, 0.4127542219241272, 0.20773550055683093, 0.4890810264413537, 0.44726825131907866, 0.44961920409132605, 0.6345837856798299, 0.7188505504980621, 0.746537241281844, 0.4282183769871741, 0.6292439006250418, 0.6716488797607678, 0.760460978335102, 0.8406417043178798, 0.9501913527600943]"
GCN,strong_skew_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_h0.4,1,0.6,256,0.01,0.0005,262,0.5808580858085809,0.43426884866109416,0.8583549508305663,0.5308564047306716,0.6275042692085706,"[0.3051404376346108, 0.20079805597475286, 0.30275980510915523, 0.41679267624950234, 0.3613860732824149, 0.4481170097910546, 0.4662559242556073, 0.17988621253613185, 0.38963261832037477, 0.48100091924142857, 0.39888399569493777, 0.6099833782661928, 0.7808427253056099, 0.8268972762416319, 0.5124479294102496, 0.6887032301214789, 0.6627578442186339, 0.796792612902223, 0.8353825620361262, 0.9526668080213148]"
GCN,strong_skew_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_h0.4,2,0.6,256,0.01,0.0005,299,0.5355263157894737,0.40343107665956024,0.854968523856013,0.5043749350611054,0.587450853061348,"[0.2878401206674907, 0.20435894669838045, 0.39870501992458646, 0.47028376887682766, 0.41942424472235373, 0.2887319116483207, 0.5242511221888054, 0.2044919900148378, 0.5014588021257346, 0.34302792817779265, 0.4112819223315804, 0.5688453077084388, 0.6704553814013966, 0.7277011945950739, 0.4074227446653608, 0.7066401041466801, 0.5755277333685064, 0.7061906919886435, 0.7597343556617824, 0.9111254103095139]"
GCN,strong_skew_unlab20_h0.4,data\synthetic\exp11_label_imbalance\strong_skew_unlab20_h0.4,0,0.6,256,0.01,0.0005,236,0.28363047001620745,0.23110687801460345,0.8121708253255919,0.4792448624054465,0.5479668364573513,"[0.3543591053797088, 0.12828077458136547, 0.38729604589309574, 0.45697631930780314, 0.3804836094562847, 0.3744017756907355, 0.2481786173792861, 0.22421037695365936, 0.43409541156361814, 0.4862787401599652, 0.5979388865715665, 0.6197059403586457, 0.45625266560735445, 0.520681025328214, 0.5355074606392536, 0.6003140767715626, 0.6847130815774634, 0.6595885436971741, 0.6361300161255474, 0.7995047750666261]"
