model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap,ap_micro
GCN,h0.2_lm_mid_h0.2,data\synthetic\exp13_coverage_gaps\h0.2_lm_mid_h0.2,0,0.6,256,0.01,0.0005,203,0.6188020626735422,0.4254842204985228,0.8152869048958372,0.536699341615796,0.6822340311801566
GCN,h0.2_lm_mid_h0.2,data\synthetic\exp13_coverage_gaps\h0.2_lm_mid_h0.2,1,0.6,256,0.01,0.0005,215,0.6064195643867023,0.40874600970698205,0.811342102237024,0.5438383312536115,0.6869291686292975
GCN,h0.2_lm_mid_h0.2,data\synthetic\exp13_coverage_gaps\h0.2_lm_mid_h0.2,2,0.6,256,0.01,0.0005,299,0.5813024370755094,0.3790751029689722,0.80823280878154,0.5278159570656707,0.6581126719361506
GCN,h0.5_lm_high_h0.5,data\synthetic\exp13_coverage_gaps\h0.5_lm_high_h0.5,0,0.6,256,0.01,0.0005,212,0.85241664512794,0.7378251859035638,0.8886748790787576,0.7327390112992537,0.8325911571523691
GCN,h0.5_lm_high_h0.5,data\synthetic\exp13_coverage_gaps\h0.5_lm_high_h0.5,1,0.6,256,0.01,0.0005,249,0.848876953125,0.711193631317975,0.8724254574470992,0.7286717199253838,0.8280727256114637
GCN,h0.5_lm_high_h0.5,data\synthetic\exp13_coverage_gaps\h0.5_lm_high_h0.5,2,0.6,256,0.01,0.0005,293,0.8457172342621259,0.7249869385450256,0.8763445744401063,0.7093839398934945,0.8180844821483435
GCN,h0.6_lm_high_h0.6,data\synthetic\exp13_coverage_gaps\h0.6_lm_high_h0.6,0,0.6,256,0.01,0.0005,299,0.865339881106229,0.7695315485125155,0.8716181239244929,0.7273128743961357,0.8262213813040918
GCN,h0.6_lm_high_h0.6,data\synthetic\exp13_coverage_gaps\h0.6_lm_high_h0.6,1,0.6,256,0.01,0.0005,248,0.86669921875,0.7666541056079975,0.857887607281753,0.7274298556095841,0.8231736007000843
GCN,h0.6_lm_high_h0.6,data\synthetic\exp13_coverage_gaps\h0.6_lm_high_h0.6,2,0.6,256,0.01,0.0005,299,0.8679050567595459,0.7712437986627869,0.8559671903222652,0.7026524312599335,0.8010950483333703
GCN,C5_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C5_h0.2_h0.2,0,0.6,256,0.01,0.0005,71,0.528034839412085,0.3087511834316865,0.504781799762231,0.2898652609072948,0.4588990417048432
GCN,C5_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C5_h0.2_h0.2,1,0.6,256,0.01,0.0005,71,0.5230078563411896,0.29244494119155473,0.4934017922881592,0.28020290490311955,0.45040603005236496
GCN,C5_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C5_h0.2_h0.2,2,0.6,256,0.01,0.0005,72,0.5094549499443827,0.2890724831976218,0.49988748779160697,0.2876610605934102,0.44376385623640385
GCN,C40_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C40_h0.2_h0.2,0,0.6,256,0.01,0.0005,299,0.5491655969191271,0.21986019370396673,0.6646719323855426,0.25008577722943404,0.45640815042866745
GCN,C40_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C40_h0.2_h0.2,1,0.6,256,0.01,0.0005,299,0.5466014418125643,0.214655486579962,0.6671862591779143,0.2553109614152764,0.46742519550058004
GCN,C40_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C40_h0.2_h0.2,2,0.6,256,0.01,0.0005,299,0.5327995867768595,0.2023537665155045,0.6657667685011043,0.24953251430313256,0.45522194295432106
GCN,C40_h0.3_h0.3,data\synthetic\exp13_coverage_gaps\C40_h0.3_h0.3,0,0.6,256,0.01,0.0005,237,0.6195121951219512,0.28561040041494395,0.6938683023243859,0.31211299728810604,0.565136242303978
GCN,C40_h0.3_h0.3,data\synthetic\exp13_coverage_gaps\C40_h0.3_h0.3,1,0.6,256,0.01,0.0005,273,0.6253861997940268,0.28845966099707104,0.6886289370984569,0.3125803866250849,0.5750771432581895
GCN,C40_h0.3_h0.3,data\synthetic\exp13_coverage_gaps\C40_h0.3_h0.3,2,0.6,256,0.01,0.0005,263,0.6082128099173554,0.27305073999889756,0.6947884472871976,0.3232191985899827,0.5712609950895768
