model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap,ap_micro
GCN,base_h0.1,data\synthetic\exp2_homophily_sweep\base_h0.1,0,0.6,256,0.01,0.0005,74,0.4967441860465116,0.21260514478897674,0.5088841921978059,0.18748438890294605,0.3824239450298045
GCN,base_h0.1,data\synthetic\exp2_homophily_sweep\base_h0.1,1,0.6,256,0.01,0.0005,82,0.4800732936326157,0.22286508042077235,0.4965358357863726,0.18885746726292582,0.36055586317949695
GCN,base_h0.1,data\synthetic\exp2_homophily_sweep\base_h0.1,2,0.6,256,0.01,0.0005,76,0.4957983193277311,0.21855438373351962,0.4929149293905688,0.17936110564558644,0.36337029042271946
GCN,base_h0.2,data\synthetic\exp2_homophily_sweep\base_h0.2,0,0.6,256,0.01,0.0005,206,0.54,0.24472460459765774,0.7832080026229657,0.40486615401076503,0.6152606133186092
GCN,base_h0.2,data\synthetic\exp2_homophily_sweep\base_h0.2,1,0.6,256,0.01,0.0005,178,0.5277141548327989,0.26159417979176514,0.7853904024973246,0.4145050000067393,0.6092802349752635
GCN,base_h0.2,data\synthetic\exp2_homophily_sweep\base_h0.2,2,0.6,256,0.01,0.0005,200,0.5476190476190477,0.26174095554052135,0.7860849679641786,0.4141585044713187,0.6143606673810088
GCN,base_h0.3,data\synthetic\exp2_homophily_sweep\base_h0.3,0,0.6,256,0.01,0.0005,208,0.6065116279069768,0.30402894420775706,0.8216084090250195,0.4538822164758304,0.6929229494275625
GCN,base_h0.3,data\synthetic\exp2_homophily_sweep\base_h0.3,1,0.6,256,0.01,0.0005,200,0.5982592762253779,0.3305682192216921,0.8229018203878589,0.4705405015161935,0.6874343085548585
GCN,base_h0.3,data\synthetic\exp2_homophily_sweep\base_h0.3,2,0.6,256,0.01,0.0005,203,0.6167133520074697,0.3276648575027651,0.8223706287005527,0.47027558474876885,0.687475903360185
GCN,base_h0.4,data\synthetic\exp2_homophily_sweep\base_h0.4,0,0.6,256,0.01,0.0005,292,0.6781395348837209,0.4074688357458397,0.8656619428097528,0.5500417688090796,0.7500990538838871
GCN,base_h0.4,data\synthetic\exp2_homophily_sweep\base_h0.4,1,0.6,256,0.01,0.0005,299,0.6752175904718277,0.4314379051541229,0.8586942219925016,0.552601201714132,0.7434445794837292
GCN,base_h0.4,data\synthetic\exp2_homophily_sweep\base_h0.4,2,0.6,256,0.01,0.0005,277,0.6834733893557423,0.4218989713870339,0.8583104298361679,0.5455987304145444,0.7446654473648586
GCN,base_h0.5,data\synthetic\exp2_homophily_sweep\base_h0.5,0,0.6,256,0.01,0.0005,229,0.7241860465116279,0.4975706103771643,0.858715856983592,0.574670262696636,0.7543071902316401
GCN,base_h0.5,data\synthetic\exp2_homophily_sweep\base_h0.5,1,0.6,256,0.01,0.0005,251,0.700870361887311,0.48962165684627557,0.8542893793779477,0.5917006274268397,0.7484072544843627
GCN,base_h0.5,data\synthetic\exp2_homophily_sweep\base_h0.5,2,0.6,256,0.01,0.0005,296,0.7217553688141923,0.4963298417671974,0.8614784443640368,0.5948400328888974,0.7590585545826697
GCN,base_h0.6,data\synthetic\exp2_homophily_sweep\base_h0.6,0,0.6,256,0.01,0.0005,259,0.7158139534883721,0.49652087277439483,0.8375288477495865,0.5637199967477404,0.7310012964429837
GCN,base_h0.6,data\synthetic\exp2_homophily_sweep\base_h0.6,1,0.6,256,0.01,0.0005,199,0.6880439761795694,0.4773328515230074,0.8375816843995025,0.5718605553312504,0.7169905615854754
GCN,base_h0.6,data\synthetic\exp2_homophily_sweep\base_h0.6,2,0.6,256,0.01,0.0005,297,0.7119514472455649,0.49131510513531784,0.8409465067599703,0.5844567358944255,0.7334227058078842
GCN,base_h0.7,data\synthetic\exp2_homophily_sweep\base_h0.7,0,0.6,256,0.01,0.0005,299,0.7283720930232558,0.5299445511145459,0.8277446862756696,0.573290701582273,0.7283601387471718
GCN,base_h0.7,data\synthetic\exp2_homophily_sweep\base_h0.7,1,0.6,256,0.01,0.0005,271,0.7091158955565735,0.5152151167947914,0.8233246077721409,0.5867698313709379,0.7212731401140382
GCN,base_h0.7,data\synthetic\exp2_homophily_sweep\base_h0.7,2,0.6,256,0.01,0.0005,299,0.7301587301587301,0.534664199468902,0.8247378378130656,0.5914847217724735,0.7237428684589172
GCN,base_h0.8,data\synthetic\exp2_homophily_sweep\base_h0.8,0,0.6,256,0.01,0.0005,299,0.7344186046511628,0.5429612120864468,0.8162455720223187,0.5833029614646495,0.7248767373626019
GCN,base_h0.8,data\synthetic\exp2_homophily_sweep\base_h0.8,1,0.6,256,0.01,0.0005,299,0.7159871736142922,0.533756290974074,0.8143658709096095,0.5895207509281318,0.7203142140652674
GCN,base_h0.8,data\synthetic\exp2_homophily_sweep\base_h0.8,2,0.6,256,0.01,0.0005,299,0.7278244631185807,0.5399276185779915,0.8111393730273144,0.5848081918042908,0.715622757820197
GCN,base_h0.9,data\synthetic\exp2_homophily_sweep\base_h0.9,0,0.6,256,0.01,0.0005,299,0.7334883720930233,0.5503868506639753,0.8016519416707029,0.5903478105223487,0.7154470215689689
GCN,base_h0.9,data\synthetic\exp2_homophily_sweep\base_h0.9,1,0.6,256,0.01,0.0005,299,0.7114063215758131,0.5334743143423826,0.7985627727161679,0.5937026579639234,0.7085645716412886
GCN,base_h0.9,data\synthetic\exp2_homophily_sweep\base_h0.9,2,0.6,256,0.01,0.0005,283,0.7315592903828197,0.5472006310299579,0.791877682196165,0.5953140124054654,0.7123325346904932
GCN,base_h1,data\synthetic\exp2_homophily_sweep\base_h1,0,0.6,256,0.01,0.0005,293,0.7320930232558139,0.5497537986519505,0.7907319258656044,0.5919036396259287,0.7141894968984553
GCN,base_h1,data\synthetic\exp2_homophily_sweep\base_h1,1,0.6,256,0.01,0.0005,299,0.711864406779661,0.5421585518330481,0.7862215407780586,0.5957153873567795,0.699820202326524
GCN,base_h1,data\synthetic\exp2_homophily_sweep\base_h1,2,0.6,256,0.01,0.0005,299,0.734360410830999,0.5548957099534493,0.7790935730251514,0.5959849302032058,0.7035924257692752
