model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap,ap_micro
GCN,base_h0.2,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.2,0,0.6,256,0.01,0.0005,106,0.6625734116390817,0.24307085044727922,0.4919749875615074,0.16027136931525368,0.478200601403636
GCN,base_h0.2,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.2,1,0.6,256,0.01,0.0005,124,0.6768831168831169,0.2527417390192829,0.48897976845847635,0.16703582358593824,0.4993268155431424
GCN,base_h0.2,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.2,2,0.6,256,0.01,0.0005,202,0.6835957338750634,0.25599310415097054,0.5045382801490936,0.17299714209442266,0.5097163067787387
GCN,base_h0.3,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.3,0,0.6,256,0.01,0.0005,161,0.6641751201281367,0.24371394816687428,0.7780191056150898,0.3281686766003507,0.7294311790704968
GCN,base_h0.3,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.3,1,0.6,256,0.01,0.0005,166,0.6737662337662338,0.24882134414790008,0.7824839354260433,0.33807686277003646,0.7419419452796618
GCN,base_h0.3,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.3,2,0.6,256,0.01,0.0005,158,0.6866429659725749,0.257169792779756,0.7884702794649298,0.3439076939328643,0.7445044702052902
GCN,base_h0.4,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.4,0,0.6,256,0.01,0.0005,299,0.6898024559530166,0.25014065011328185,0.7627349586764918,0.30851013202067534,0.7333398359069917
GCN,base_h0.4,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.4,1,0.6,256,0.01,0.0005,299,0.695064935064935,0.25400781055318383,0.7767277976785395,0.31748888407980463,0.7473384879091691
GCN,base_h0.4,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.4,2,0.6,256,0.01,0.0005,299,0.7034027425088878,0.2610544034852178,0.7729323590938185,0.3201274593539011,0.7485038833939213
GCN,base_h0.5,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.5,0,0.6,256,0.01,0.0005,226,0.7357180993059264,0.278409277778989,0.8161797672296307,0.3709017036974647,0.8089717003638127
GCN,base_h0.5,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.5,1,0.6,256,0.01,0.0005,225,0.7527272727272727,0.2905446026683061,0.8270164472039438,0.37365573764579824,0.8231860697384634
GCN,base_h0.5,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.5,2,0.6,256,0.01,0.0005,299,0.7455561198577958,0.27688161212024187,0.822500271039161,0.37601243201559276,0.8179917987886245
GCN,base_h0.6,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.6,0,0.6,256,0.01,0.0005,226,0.7469300587293113,0.2904258163309067,0.8330202365190233,0.3809366967696203,0.8250872126814012
GCN,base_h0.6,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.6,1,0.6,256,0.01,0.0005,299,0.7662337662337663,0.29915795673567075,0.8454392918766841,0.39040722284681384,0.8443052701357454
GCN,base_h0.6,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.6,2,0.6,256,0.01,0.0005,283,0.7689182326053834,0.30640295118977756,0.8408891275866521,0.3894428066186769,0.837175438238886
GCN,base_h0.7,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.7,0,0.6,256,0.01,0.0005,226,0.7741591030432461,0.3072674900367095,0.8403261325490318,0.40299968130439157,0.8327043610660333
GCN,base_h0.7,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.7,1,0.6,256,0.01,0.0005,179,0.7968831168831169,0.323045256599667,0.84439942678507,0.3964821859080621,0.8465971865576236
GCN,base_h0.7,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.7,2,0.6,256,0.01,0.0005,299,0.7948197054342305,0.3188403030073003,0.8471122550117123,0.40320324890760484,0.8424176116273713
GCN,base_h0.8,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.8,0,0.6,256,0.01,0.0005,277,0.7880405766150561,0.3354660538210662,0.846685557136601,0.4194226370410079,0.8280536747703243
GCN,base_h0.8,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.8,1,0.6,256,0.01,0.0005,264,0.8057142857142857,0.34876833596245593,0.8589366146297659,0.4151815704665043,0.8337568490750205
GCN,base_h0.8,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.8,2,0.6,256,0.01,0.0005,299,0.7998984255967496,0.3267608194569807,0.8502953734499655,0.4244352011689464,0.8336098686808076
GCN,base_h0.9,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.9,0,0.6,256,0.01,0.0005,299,0.807261078483716,0.38679978290731687,0.8591596978692524,0.4456838353116598,0.8296419075155838
GCN,base_h0.9,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.9,1,0.6,256,0.01,0.0005,299,0.8306493506493506,0.39879783190310725,0.875473332300045,0.46486855999293136,0.8461314602202727
GCN,base_h0.9,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.9,2,0.6,256,0.01,0.0005,299,0.8131030980192991,0.3725865331790366,0.854430206956804,0.44695469759170126,0.8318448268794393
GCN,base_h1,data\synthetic\exp2b_paperbase_homophily_sweep\base_h1,0,0.6,256,0.01,0.0005,299,0.803523758675921,0.40799259094900897,0.8630714286477732,0.479133190299916,0.8140776246381985
GCN,base_h1,data\synthetic\exp2b_paperbase_homophily_sweep\base_h1,1,0.6,256,0.01,0.0005,299,0.8228571428571428,0.4203798641878307,0.8492261493046739,0.49031359299422694,0.8199238390722059
GCN,base_h1,data\synthetic\exp2b_paperbase_homophily_sweep\base_h1,2,0.6,256,0.01,0.0005,290,0.813610970035551,0.3961530005159599,0.8459767051518405,0.4937384030986761,0.8235018608440243
H2GCN,base_h0.2,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.2,0,0.6,64,0.01,0.0005,256,0.7250400427122263,0.3049613573765154,0.6914597579962439,0.2729003951503161,0.6067855611820624
H2GCN,base_h0.2,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.2,1,0.6,64,0.01,0.0005,215,0.7392207792207792,0.31355064715241404,0.6841468899122688,0.26036229635109154,0.617568697885379
H2GCN,base_h0.2,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.2,2,0.6,64,0.01,0.0005,184,0.7374301675977654,0.31781471787217747,0.6843500339711234,0.26781021297701346,0.6204354710034705
H2GCN,base_h0.3,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.3,0,0.6,64,0.01,0.0005,222,0.7261078483715964,0.299135711261982,0.8268608255917002,0.40972785719077975,0.8348542357044638
H2GCN,base_h0.3,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.3,1,0.6,64,0.01,0.0005,228,0.7625974025974026,0.3378972127886922,0.8344689649965742,0.42584528614701433,0.8576453496928698
H2GCN,base_h0.3,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.3,2,0.6,64,0.01,0.0005,235,0.7562214321990859,0.31184727506963295,0.8262039238512537,0.4163404169680878,0.8497585838021486
H2GCN,base_h0.4,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.4,0,0.6,64,0.01,0.0005,299,0.7762947143619862,0.35327671381234504,0.8589452112066184,0.44220332936951284,0.875073805435789
H2GCN,base_h0.4,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.4,1,0.6,64,0.01,0.0005,220,0.7781818181818182,0.33528886058692686,0.8542826654898146,0.43198497516862383,0.8761242036936565
H2GCN,base_h0.4,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.4,2,0.6,64,0.01,0.0005,131,0.7592686642965972,0.32468814675559493,0.8307455528775458,0.40940813470408,0.8380703449967687
H2GCN,base_h0.5,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.5,0,0.6,64,0.01,0.0005,187,0.7880405766150561,0.38747289301200233,0.8640102173543708,0.4488012129143195,0.8827440836994951
H2GCN,base_h0.5,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.5,1,0.6,64,0.01,0.0005,177,0.8077922077922078,0.3829147499596028,0.8647834198526528,0.45958904248904775,0.8993145566432649
H2GCN,base_h0.5,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.5,2,0.6,64,0.01,0.0005,153,0.8009141696292534,0.355390907354798,0.8588251123942673,0.4547167671647158,0.8912927304186181
H2GCN,base_h0.6,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.6,0,0.6,64,0.01,0.0005,187,0.799786438868126,0.4148756811102331,0.8758825508081207,0.4633696541278959,0.8901648037016335
H2GCN,base_h0.6,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.6,1,0.6,64,0.01,0.0005,236,0.8420779220779221,0.4218932645468557,0.8866140695101276,0.4907272764221252,0.9217488779427472
H2GCN,base_h0.6,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.6,2,0.6,64,0.01,0.0005,211,0.8445911630269172,0.44247202525273394,0.8850586027849617,0.4804451116007093,0.9191740588677785
H2GCN,base_h0.7,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.7,0,0.6,64,0.01,0.0005,229,0.8457020822210358,0.4771028091341325,0.8949114816375028,0.5312727518150536,0.918218800967868
H2GCN,base_h0.7,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.7,1,0.6,64,0.01,0.0005,228,0.8493506493506493,0.4415340685453414,0.8940025960566255,0.5132821329607621,0.9257833699833924
H2GCN,base_h0.7,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.7,2,0.6,64,0.01,0.0005,175,0.8476383951244286,0.4920951342735636,0.8911685766153745,0.509962368019875,0.9219823353349075
H2GCN,base_h0.8,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.8,0,0.6,64,0.01,0.0005,169,0.8275493860117459,0.4513149858604478,0.8882757134099448,0.5054595005378502,0.9087279909312939
H2GCN,base_h0.8,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.8,1,0.6,64,0.01,0.0005,158,0.8467532467532467,0.4807621838308342,0.89622957996987,0.5039120091265038,0.9176726898145651
H2GCN,base_h0.8,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.8,2,0.6,64,0.01,0.0005,131,0.8471305231081767,0.475421978865658,0.8908594160106211,0.4989259327959852,0.9137986255663402
H2GCN,base_h0.9,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.9,0,0.6,64,0.01,0.0005,110,0.8296849973304858,0.4912121136634136,0.8902732913704495,0.5052606858321754,0.8923449100466955
H2GCN,base_h0.9,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.9,1,0.6,64,0.01,0.0005,132,0.8353246753246754,0.46685936890362356,0.9005828558422438,0.524963984229257,0.9164261003214499
H2GCN,base_h0.9,data\synthetic\exp2b_paperbase_homophily_sweep\base_h0.9,2,0.6,64,0.01,0.0005,137,0.8445911630269172,0.49671107517515695,0.879785068158984,0.49353006508510633,0.8988591156293281
H2GCN,base_h1,data\synthetic\exp2b_paperbase_homophily_sweep\base_h1,0,0.6,64,0.01,0.0005,176,0.8457020822210358,0.5941082798486087,0.9179712097938777,0.5248241198797976,0.904587951711852
H2GCN,base_h1,data\synthetic\exp2b_paperbase_homophily_sweep\base_h1,1,0.6,64,0.01,0.0005,178,0.8685714285714285,0.5724696494330495,0.8917825194513783,0.5456032102521867,0.9216599219704509
H2GCN,base_h1,data\synthetic\exp2b_paperbase_homophily_sweep\base_h1,2,0.6,64,0.01,0.0005,183,0.8633824276282377,0.5655919363087578,0.8896037401323327,0.5225247879010629,0.913880786333065
