model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,0,0.6,256,0.01,0.0005,299,0.6776744186046512,0.409597476061492,0.8501695948214719,0.5339870861566735
GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,1,0.6,256,0.01,0.0005,299,0.6660558863948695,0.4129804532225463,0.845504142578074,0.535321658010891
GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,2,0.6,256,0.01,0.0005,299,0.6778711484593838,0.4141900495135119,0.843870419234969,0.5318980844387625
GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,0,0.6,256,0.01,0.0005,299,0.3809523809523809,0.2095217715246199,0.7494570345110325,0.3028985989887248
GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,1,0.6,256,0.01,0.0005,299,0.3956112852664576,0.1997526950579635,0.7398880759079806,0.3086823924357512
GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,2,0.6,256,0.01,0.0005,205,0.3874151758173966,0.1996336283010433,0.7244318999914002,0.2799603280303268
GCN,f200_c20_h0.4,data\synthetic\exp3\f200_c20_h0.4,0,0.6,256,0.01,0.0005,148,0.2127022168963451,0.093908912969718,0.7179963673685774,0.2138425771271394
GCN,f200_c20_h0.4,data\synthetic\exp3\f200_c20_h0.4,1,0.6,256,0.01,0.0005,141,0.2119164619164619,0.0960261721168723,0.7039660891083657,0.2139516671759921
GCN,f200_c20_h0.4,data\synthetic\exp3\f200_c20_h0.4,2,0.6,256,0.01,0.0005,141,0.2603823335530653,0.1222376916447488,0.7037521520970481,0.2177921625263164
H2GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,0,0.6,64,0.01,0.0005,234,0.7795348837209303,0.5878397643619528,0.907039351922952,0.6725136224614374
H2GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,1,0.6,64,0.01,0.0005,150,0.7489693082913422,0.5731273450130157,0.8985599304979264,0.6606491903064792
H2GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,2,0.6,64,0.01,0.0005,281,0.7987861811391224,0.6295659600066869,0.9065593749246356,0.6873573750164976
H2GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,0,0.6,64,0.01,0.0005,190,0.6784083496412263,0.5874784474676618,0.8964694488409419,0.6419803526923669
H2GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,1,0.6,64,0.01,0.0005,181,0.6683385579937304,0.569293620059968,0.8948740506824372,0.6339069635869629
H2GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,2,0.6,64,0.01,0.0005,181,0.6927822331893893,0.5881663538769984,0.8995975331052197,0.6514646932546883
H2GCN,f200_c20_h0.4,data\synthetic\exp3\f200_c20_h0.4,0,0.6,64,0.01,0.0005,220,0.4799281006590773,0.4031562368456015,0.8781082746930947,0.5696390163924012
H2GCN,f200_c20_h0.4,data\synthetic\exp3\f200_c20_h0.4,1,0.6,64,0.01,0.0005,218,0.4987714987714988,0.4257554674322928,0.8700113052473947,0.5844619543640486
H2GCN,f200_c20_h0.4,data\synthetic\exp3\f200_c20_h0.4,2,0.6,64,0.01,0.0005,221,0.5543836519446276,0.4699040489131798,0.8804892780278815,0.5902382391530561
GCN,f10_c10_h0.4,data\synthetic\exp3\f10_c10_h0.4,0,0.6,256,0.01,0.0005,299,0.7994409503843466,0.6490502738233758,0.9439015862708999,0.7835622693174301,0.8958007082057327
GCN,f10_c10_h0.4,data\synthetic\exp3\f10_c10_h0.4,1,0.6,256,0.01,0.0005,299,0.815697266993693,0.6409079880523947,0.9428335334452431,0.7732540433763833,0.9006378343177259
GCN,f10_c10_h0.4,data\synthetic\exp3\f10_c10_h0.4,2,0.6,256,0.01,0.0005,299,0.8054982817869416,0.6508779161465159,0.94971919553194,0.7906114351596034,0.9021834456899561
GCN,f10_c60_h0.4,data\synthetic\exp3\f10_c60_h0.4,0,0.6,256,0.01,0.0005,120,0.5904104022754978,0.24163458867434165,0.6183966750782809,0.2315708864527108,0.479060562395482
GCN,f10_c60_h0.4,data\synthetic\exp3\f10_c60_h0.4,1,0.6,256,0.01,0.0005,94,0.5953870211102423,0.2361928679154435,0.6210866226462683,0.23886286732189652,0.500434489113841
GCN,f10_c60_h0.4,data\synthetic\exp3\f10_c60_h0.4,2,0.6,256,0.01,0.0005,77,0.591632292280495,0.2351557076720478,0.6252325752494475,0.2333234969658241,0.4951782495755542
GCN,f50_c10_h0.4,data\synthetic\exp3\f50_c10_h0.4,0,0.6,256,0.01,0.0005,299,0.6789383561643836,0.5024913086818346,0.9309110405873092,0.7160889449004679,0.828918521816351
GCN,f50_c10_h0.4,data\synthetic\exp3\f50_c10_h0.4,1,0.6,256,0.01,0.0005,299,0.7080231596360629,0.5257714069013353,0.9313474069411314,0.7214284372507643,0.8408343761656393
GCN,f50_c10_h0.4,data\synthetic\exp3\f50_c10_h0.4,2,0.6,256,0.01,0.0005,299,0.6909667194928685,0.5437671622432235,0.9200170996255267,0.7115504176306721,0.8285373388983861
GCN,f50_c60_h0.4,data\synthetic\exp3\f50_c60_h0.4,0,0.6,256,0.01,0.0005,77,0.42009515813042264,0.09344221222221707,0.505454858568259,0.10684487187713257,0.33502736476929484
GCN,f50_c60_h0.4,data\synthetic\exp3\f50_c60_h0.4,1,0.6,256,0.01,0.0005,76,0.4079312257348863,0.09977162139737497,0.4962615234058238,0.1045834310168377,0.3289788140386234
GCN,f50_c60_h0.4,data\synthetic\exp3\f50_c60_h0.4,2,0.6,256,0.01,0.0005,73,0.40468497576736673,0.10842694462063053,0.48942784738702044,0.10644430697358157,0.3164564066175114
GCN,f200_c10_h0.4,data\synthetic\exp3\f200_c10_h0.4,0,0.6,256,0.01,0.0005,299,0.6334405144694534,0.522984042497036,0.9598855851493416,0.8151045458460426,0.9065849854757617
GCN,f200_c10_h0.4,data\synthetic\exp3\f200_c10_h0.4,1,0.6,256,0.01,0.0005,299,0.6423017107309487,0.5322146489105992,0.9578433963388864,0.8079817189514051,0.9109967950526384
GCN,f200_c10_h0.4,data\synthetic\exp3\f200_c10_h0.4,2,0.6,256,0.01,0.0005,299,0.659852820932134,0.5500963321982553,0.9572011750681163,0.8050338706609876,0.9076255235530687
GCN,f200_c60_h0.4,data\synthetic\exp3\f200_c60_h0.4,0,0.6,256,0.01,0.0005,299,0.3744319903059679,0.0670384463285084,0.46836879117492747,0.09153893312531314,0.30788905226495694
GCN,f200_c60_h0.4,data\synthetic\exp3\f200_c60_h0.4,1,0.6,256,0.01,0.0005,75,0.3703051643192488,0.06638180226359144,0.473964727555867,0.09186899439217065,0.30284230275298574
GCN,f200_c60_h0.4,data\synthetic\exp3\f200_c60_h0.4,2,0.6,256,0.01,0.0005,299,0.36390977443609024,0.05819683160267893,0.4721635339204916,0.09222420893668991,0.2992836148644745
H2GCN,f10_c10_h0.4,data\synthetic\exp3\f10_c10_h0.4,0,0.6,64,0.01,0.0005,195,0.8958770090845563,0.8037006657969098,0.9698370640478295,0.8768470156801499,0.9706378629381296
H2GCN,f10_c10_h0.4,data\synthetic\exp3\f10_c10_h0.4,1,0.6,64,0.01,0.0005,191,0.913104414856342,0.8237517629513885,0.9681360037786405,0.8681317736833719,0.9712798340957873
H2GCN,f10_c10_h0.4,data\synthetic\exp3\f10_c10_h0.4,2,0.6,64,0.01,0.0005,206,0.9037800687285223,0.8256071013536961,0.9796018608559353,0.9067077516259232,0.9802122600269062
H2GCN,f10_c60_h0.4,data\synthetic\exp3\f10_c60_h0.4,0,0.6,64,0.01,0.0005,178,0.6304347826086957,0.3186767345977054,0.6911511632080617,0.37557561159098185,0.6618762250990865
H2GCN,f10_c60_h0.4,data\synthetic\exp3\f10_c60_h0.4,1,0.6,64,0.01,0.0005,276,0.6426896012509773,0.3284801537880308,0.6877645110922602,0.3834011031096424,0.6827144579511051
H2GCN,f10_c60_h0.4,data\synthetic\exp3\f10_c60_h0.4,2,0.6,64,0.01,0.0005,212,0.6360243567079159,0.3266902615636266,0.6985095362271267,0.3843554829770514,0.6721740957970824
H2GCN,f50_c10_h0.4,data\synthetic\exp3\f50_c10_h0.4,0,0.6,64,0.01,0.0005,153,0.860445205479452,0.8120065602398852,0.9843263885998581,0.9294634221700326,0.9702299342289447
H2GCN,f50_c10_h0.4,data\synthetic\exp3\f50_c10_h0.4,1,0.6,64,0.01,0.0005,220,0.9148056244830438,0.8731356145600551,0.9879889053079693,0.9500057920562737,0.9854489056398786
H2GCN,f50_c10_h0.4,data\synthetic\exp3\f50_c10_h0.4,2,0.6,64,0.01,0.0005,149,0.8478605388272583,0.791460377491653,0.9790329650823077,0.9214607095508762,0.9662399069014203
H2GCN,f50_c60_h0.4,data\synthetic\exp3\f50_c60_h0.4,0,0.6,64,0.01,0.0005,299,0.43129023229778896,0.1328768575106033,0.5875243593121308,0.17139703939646855,0.41393031660417606
H2GCN,f50_c60_h0.4,data\synthetic\exp3\f50_c60_h0.4,1,0.6,64,0.01,0.0005,243,0.4170826400443705,0.1172363133441169,0.5694900532438862,0.15567494992761197,0.4045136439136356
H2GCN,f50_c60_h0.4,data\synthetic\exp3\f50_c60_h0.4,2,0.6,64,0.01,0.0005,298,0.4184168012924071,0.14469710210235226,0.5705801521917457,0.16501279555857382,0.38356115748774955
H2GCN,f200_c10_h0.4,data\synthetic\exp3\f200_c10_h0.4,0,0.6,64,0.01,0.0005,148,0.707395498392283,0.6514426718362891,0.9778714664988113,0.9217653791052023,0.9693685239879606
H2GCN,f200_c10_h0.4,data\synthetic\exp3\f200_c10_h0.4,1,0.6,64,0.01,0.0005,174,0.7076205287713841,0.6467418195232832,0.9841454679081547,0.9319245086017471,0.973241198620483
H2GCN,f200_c10_h0.4,data\synthetic\exp3\f200_c10_h0.4,2,0.6,64,0.01,0.0005,299,0.7612428454619787,0.713540253594215,0.9906683279924765,0.9784074689061409,0.9875363472350598
H2GCN,f200_c60_h0.4,data\synthetic\exp3\f200_c60_h0.4,0,0.6,64,0.01,0.0005,173,0.37140260527112995,0.080819741827276,0.5180273442479669,0.12090592025145248,0.37554352284084946
H2GCN,f200_c60_h0.4,data\synthetic\exp3\f200_c60_h0.4,1,0.6,64,0.01,0.0005,198,0.3714788732394366,0.0829849672422769,0.5246451598396251,0.1224326151086928,0.38204677102170403
H2GCN,f200_c60_h0.4,data\synthetic\exp3\f200_c60_h0.4,2,0.6,64,0.01,0.0005,281,0.363609022556391,0.08160068148447698,0.5284058384688451,0.12709808671766185,0.3770967934785921
