model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,swap0xE_h0.6,data\synthetic\exp4_clustering\swap0xE_h0.6,0,0.6,256,0.01,0.0005,259,0.7158139534883721,0.49652087277439483,0.8375288477495865,0.5637199967477404
GCN,swap0xE_h0.6,data\synthetic\exp4_clustering\swap0xE_h0.6,1,0.6,256,0.01,0.0005,199,0.6880439761795694,0.4773328515230074,0.8375816843995025,0.5718605553312504
GCN,swap0xE_h0.6,data\synthetic\exp4_clustering\swap0xE_h0.6,2,0.6,256,0.01,0.0005,297,0.7119514472455649,0.49131510513531784,0.8409465067599703,0.5844567358944255
GCN,swap0p5xE_h0.6,data\synthetic\exp4_clustering\swap0p5xE_h0.6,0,0.6,256,0.01,0.0005,299,0.7074418604651163,0.4790621668884082,0.8342263388444208,0.5460746401573064
GCN,swap0p5xE_h0.6,data\synthetic\exp4_clustering\swap0p5xE_h0.6,1,0.6,256,0.01,0.0005,256,0.6885020613834173,0.47554079464517374,0.8338292350553853,0.5607722213138062
GCN,swap0p5xE_h0.6,data\synthetic\exp4_clustering\swap0p5xE_h0.6,2,0.6,256,0.01,0.0005,299,0.7096171802054155,0.4913611853182068,0.8357639635026886,0.5738220942799073
GCN,swap1xE_h0.6,data\synthetic\exp4_clustering\swap1xE_h0.6,0,0.6,256,0.01,0.0005,262,0.706046511627907,0.4766863482674807,0.8328661462986924,0.5498971967229537
GCN,swap1xE_h0.6,data\synthetic\exp4_clustering\swap1xE_h0.6,1,0.6,256,0.01,0.0005,257,0.6834631241410902,0.46913459192421286,0.8304670347384372,0.56070279188546
GCN,swap1xE_h0.6,data\synthetic\exp4_clustering\swap1xE_h0.6,2,0.6,256,0.01,0.0005,296,0.7054154995331466,0.48457323159591265,0.8346422586954733,0.5683261219342972
GCN,swap2xE_h0.6,data\synthetic\exp4_clustering\swap2xE_h0.6,0,0.6,256,0.01,0.0005,261,0.7069767441860465,0.48511315388293796,0.8278893924775925,0.5444445302271094
GCN,swap2xE_h0.6,data\synthetic\exp4_clustering\swap2xE_h0.6,1,0.6,256,0.01,0.0005,271,0.6834631241410902,0.4691239613336847,0.830010690591623,0.555096169471718
GCN,swap2xE_h0.6,data\synthetic\exp4_clustering\swap2xE_h0.6,2,0.6,256,0.01,0.0005,299,0.7012138188608776,0.4866787076269185,0.8353104640969544,0.5727664848494249
H2GCN,swap0xE_h0.6,data\synthetic\exp4_clustering\swap0xE_h0.6,0,0.6,64,0.01,0.0005,125,0.7274418604651163,0.5520188813064548,0.8504012829320612,0.5698352687482894
H2GCN,swap0xE_h0.6,data\synthetic\exp4_clustering\swap0xE_h0.6,1,0.6,64,0.01,0.0005,156,0.7311039853412735,0.5725774478797219,0.8546934472196777,0.596167979439546
H2GCN,swap0xE_h0.6,data\synthetic\exp4_clustering\swap0xE_h0.6,2,0.6,64,0.01,0.0005,111,0.7394957983193278,0.5578687193581915,0.8572428300332484,0.6004711141364585
H2GCN,swap0p5xE_h0.6,data\synthetic\exp4_clustering\swap0p5xE_h0.6,0,0.6,64,0.01,0.0005,115,0.72,0.5316390040854175,0.8452828720476685,0.553857663017174
H2GCN,swap0p5xE_h0.6,data\synthetic\exp4_clustering\swap0p5xE_h0.6,1,0.6,64,0.01,0.0005,173,0.7237746220797068,0.5439339018482441,0.8538680617942369,0.594821972669531
H2GCN,swap0p5xE_h0.6,data\synthetic\exp4_clustering\swap0p5xE_h0.6,2,0.6,64,0.01,0.0005,152,0.7450980392156863,0.5726965256791439,0.8581636888376207,0.5999316604981723
H2GCN,swap1xE_h0.6,data\synthetic\exp4_clustering\swap1xE_h0.6,0,0.6,64,0.01,0.0005,108,0.7176744186046512,0.5396112880631818,0.8454844595669961,0.5577060759743747
H2GCN,swap1xE_h0.6,data\synthetic\exp4_clustering\swap1xE_h0.6,1,0.6,64,0.01,0.0005,159,0.722858451672011,0.5551482581571456,0.8482833153557146,0.5817531993931709
H2GCN,swap1xE_h0.6,data\synthetic\exp4_clustering\swap1xE_h0.6,2,0.6,64,0.01,0.0005,131,0.7366946778711485,0.5529350532481153,0.8529714427195823,0.596806277433612
H2GCN,swap2xE_h0.6,data\synthetic\exp4_clustering\swap2xE_h0.6,0,0.6,64,0.01,0.0005,118,0.7223255813953489,0.5419481523319245,0.8480420422830731,0.5620662473948006
H2GCN,swap2xE_h0.6,data\synthetic\exp4_clustering\swap2xE_h0.6,1,0.6,64,0.01,0.0005,118,0.7081997251488777,0.5286901099369932,0.8447307421954168,0.5715880455242592
H2GCN,swap2xE_h0.6,data\synthetic\exp4_clustering\swap2xE_h0.6,2,0.6,64,0.01,0.0005,141,0.7464985994397759,0.5811053655682612,0.859021839070711,0.607053774388457
