model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,r015_025_h0.4,data\synthetic\exp6_label_cardinality\r015_025_h0.4,0,0.6,256,0.01,0.0005,299,0.5863956215793589,0.5571040446035093,0.9266295788692887,0.668518985842845
GCN,r015_025_h0.4,data\synthetic\exp6_label_cardinality\r015_025_h0.4,1,0.6,256,0.01,0.0005,299,0.5904088050314465,0.5649947317168201,0.9114399048576189,0.64345422273607
GCN,r015_025_h0.4,data\synthetic\exp6_label_cardinality\r015_025_h0.4,2,0.6,256,0.01,0.0005,299,0.6241935483870967,0.5968515550528262,0.9212083757635521,0.6571678564754375
GCN,r045_075_h0.4,data\synthetic\exp6_label_cardinality\r045_075_h0.4,0,0.6,256,0.01,0.0005,230,0.7671558905196351,0.6311578955704641,0.8813100820859721,0.6504440550508425
GCN,r045_075_h0.4,data\synthetic\exp6_label_cardinality\r045_075_h0.4,1,0.6,256,0.01,0.0005,204,0.7462743599541459,0.6040273047975736,0.8692991389099858,0.6711477054897932
GCN,r045_075_h0.4,data\synthetic\exp6_label_cardinality\r045_075_h0.4,2,0.6,256,0.01,0.0005,299,0.7327207351178586,0.5943472145934658,0.8769832553401979,0.6483567587767649
GCN,r060_085_h0.4,data\synthetic\exp6_label_cardinality\r060_085_h0.4,0,0.6,256,0.01,0.0005,299,0.8244498777506113,0.6919925530718751,0.9131612338650026,0.7860575261339253
GCN,r060_085_h0.4,data\synthetic\exp6_label_cardinality\r060_085_h0.4,1,0.6,256,0.01,0.0005,288,0.8223102002794597,0.6785837618226449,0.9037835633852014,0.7941744021851361
GCN,r060_085_h0.4,data\synthetic\exp6_label_cardinality\r060_085_h0.4,2,0.6,256,0.01,0.0005,233,0.814190027288514,0.6745167137664303,0.9026098916379299,0.770526918036263
H2GCN,r015_025_h0.4,data\synthetic\exp6_label_cardinality\r015_025_h0.4,0,0.6,64,0.001,0.0005,299,0.4519155590304926,0.41981699541151596,0.8641541076946113,0.4432758618894252
H2GCN,r015_025_h0.4,data\synthetic\exp6_label_cardinality\r015_025_h0.4,1,0.6,64,0.001,0.0005,299,0.4716981132075472,0.44463203182814004,0.8649657368104758,0.4621933405543455
H2GCN,r015_025_h0.4,data\synthetic\exp6_label_cardinality\r015_025_h0.4,2,0.6,64,0.001,0.0005,299,0.49435483870967745,0.4693977860716506,0.8673897409456865,0.4542733630787638
H2GCN,r045_075_h0.4,data\synthetic\exp6_label_cardinality\r045_075_h0.4,0,0.6,64,0.001,0.0005,299,0.7544625148750496,0.6315240280380088,0.8773151840909883,0.6666610403176915
H2GCN,r045_075_h0.4,data\synthetic\exp6_label_cardinality\r045_075_h0.4,1,0.6,64,0.001,0.0005,299,0.7382499044707681,0.6148634889616392,0.8638702468859272,0.6613619691738246
H2GCN,r045_075_h0.4,data\synthetic\exp6_label_cardinality\r045_075_h0.4,2,0.6,64,0.001,0.0005,299,0.7235317618857371,0.6008279472185848,0.8660572379191341,0.6430258082961918
H2GCN,r060_085_h0.4,data\synthetic\exp6_label_cardinality\r060_085_h0.4,0,0.6,64,0.001,0.0005,299,0.8229828850855746,0.7142318156019609,0.916060355468803,0.8102400889239945
H2GCN,r060_085_h0.4,data\synthetic\exp6_label_cardinality\r060_085_h0.4,1,0.6,64,0.001,0.0005,299,0.8248719142990218,0.7155881052275347,0.9075009881430219,0.816114377248957
H2GCN,r060_085_h0.4,data\synthetic\exp6_label_cardinality\r060_085_h0.4,2,0.6,64,0.001,0.0005,299,0.809476556685686,0.6858011992448005,0.9033875073244909,0.7901701969709506

