model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,add0_h0.6,data\synthetic\exp7_edge_addition\add0_h0.6,0,0.6,256,0.01,0.0005,259,0.7158139534883721,0.49652087277439483,0.8375288477495865,0.5637199967477404
GCN,add0_h0.6,data\synthetic\exp7_edge_addition\add0_h0.6,1,0.6,256,0.01,0.0005,199,0.6880439761795694,0.4773328515230074,0.8375816843995025,0.5718605553312504
GCN,add0_h0.6,data\synthetic\exp7_edge_addition\add0_h0.6,2,0.6,256,0.01,0.0005,297,0.7119514472455649,0.49131510513531784,0.8409465067599703,0.5844567358944255
GCN,add0p1_h0.6,data\synthetic\exp7_edge_addition\add0p1_h0.6,0,0.6,256,0.01,0.0005,299,0.6665116279069767,0.42238287172964456,0.8302421963982061,0.5202764903770827
GCN,add0p1_h0.6,data\synthetic\exp7_edge_addition\add0p1_h0.6,1,0.6,256,0.01,0.0005,299,0.6463582226294091,0.4157500411777761,0.8341844061355645,0.5187700614208431
GCN,add0p1_h0.6,data\synthetic\exp7_edge_addition\add0p1_h0.6,2,0.6,256,0.01,0.0005,299,0.6708683473389355,0.42614159352420183,0.8323233855485237,0.5251265685012618
GCN,add0p25_h0.6,data\synthetic\exp7_edge_addition\add0p25_h0.6,0,0.6,256,0.01,0.0005,276,0.6130232558139534,0.3190743386787354,0.8111714388651408,0.44882170658022125
GCN,add0p25_h0.6,data\synthetic\exp7_edge_addition\add0p25_h0.6,1,0.6,256,0.01,0.0005,251,0.6051305542830967,0.3347516840246317,0.8094335875457294,0.45382116841553655
GCN,add0p25_h0.6,data\synthetic\exp7_edge_addition\add0p25_h0.6,2,0.6,256,0.01,0.0005,299,0.6209150326797386,0.33367676482964215,0.8092141388228751,0.4569005977089903
GCN,add0p5_h0.6,data\synthetic\exp7_edge_addition\add0p5_h0.6,0,0.6,256,0.01,0.0005,299,0.5637209302325581,0.2535960941535588,0.7686396949475438,0.36123666879986527
GCN,add0p5_h0.6,data\synthetic\exp7_edge_addition\add0p5_h0.6,1,0.6,256,0.01,0.0005,299,0.5547411818598259,0.2682158155448998,0.7663008788546473,0.364831724984708
GCN,add0p5_h0.6,data\synthetic\exp7_edge_addition\add0p5_h0.6,2,0.6,256,0.01,0.0005,299,0.5662931839402428,0.26671660240985545,0.7598102172746544,0.36562290568572064
GCN,add1_h0.6,data\synthetic\exp7_edge_addition\add1_h0.6,0,0.6,256,0.01,0.0005,299,0.5186046511627908,0.22357939054723164,0.6908336555157782,0.27554768685936637
