model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,clean_h0.618455,data\synthetic\exp7_matched_homophily\clean_h0.618455,0,0.6,256,0.01,0.0005,259,0.7158139534883721,0.49652087277439483,0.8375288477495865,0.5637199967477404
GCN,clean_h0.618455,data\synthetic\exp7_matched_homophily\clean_h0.618455,1,0.6,256,0.01,0.0005,199,0.6880439761795694,0.4773328515230074,0.8375816843995025,0.5718605553312504
GCN,clean_h0.618455,data\synthetic\exp7_matched_homophily\clean_h0.618455,2,0.6,256,0.01,0.0005,297,0.7119514472455649,0.49131510513531784,0.8409465067599703,0.5844567358944255
GCN,clean_h0.574792,data\synthetic\exp7_matched_homophily\clean_h0.574792,0,0.6,256,0.01,0.0005,299,0.7497674418604651,0.5478957850634181,0.8520373944086046,0.5958610154589219
GCN,clean_h0.574792,data\synthetic\exp7_matched_homophily\clean_h0.574792,1,0.6,256,0.01,0.0005,246,0.7150710032065964,0.5199932332088211,0.850287213585393,0.6057095800624588
GCN,clean_h0.574792,data\synthetic\exp7_matched_homophily\clean_h0.574792,2,0.6,256,0.01,0.0005,218,0.7436974789915967,0.547857470212781,0.8487594238942293,0.6059422178019834
GCN,clean_h0.52253,data\synthetic\exp7_matched_homophily\clean_h0.52253,0,0.6,256,0.01,0.0005,229,0.7367441860465116,0.5113994435600228,0.8557770055951519,0.5784976564034813
GCN,clean_h0.52253,data\synthetic\exp7_matched_homophily\clean_h0.52253,1,0.6,256,0.01,0.0005,246,0.7049931287219423,0.49704134555597523,0.8542020384635565,0.5965493593756462
GCN,clean_h0.52253,data\synthetic\exp7_matched_homophily\clean_h0.52253,2,0.6,256,0.01,0.0005,297,0.7338935574229691,0.519119571741437,0.857569878932528,0.5954844983702196
GCN,clean_h0.459335,data\synthetic\exp7_matched_homophily\clean_h0.459335,0,0.6,256,0.01,0.0005,255,0.718139534883721,0.47796627040458406,0.8638416176852232,0.5822926846102008
GCN,clean_h0.459335,data\synthetic\exp7_matched_homophily\clean_h0.459335,1,0.6,256,0.01,0.0005,299,0.7004122766834632,0.48127378331182663,0.8597409345368655,0.58644305694558
GCN,clean_h0.459335,data\synthetic\exp7_matched_homophily\clean_h0.459335,2,0.6,256,0.01,0.0005,299,0.7189542483660131,0.4914254257018297,0.8659880366628748,0.5953116370246987
GCN,clean_h0.379453,data\synthetic\exp7_matched_homophily\clean_h0.379453,0,0.6,256,0.01,0.0005,237,0.6451162790697674,0.36249971822270594,0.8404830850572715,0.4892571478213698
GCN,clean_h0.379453,data\synthetic\exp7_matched_homophily\clean_h0.379453,1,0.6,256,0.01,0.0005,251,0.6335318369216675,0.3720933199624697,0.841086155891228,0.5041292393433158
GCN,clean_h0.379453,data\synthetic\exp7_matched_homophily\clean_h0.379453,2,0.6,256,0.01,0.0005,299,0.6475256769374417,0.3707313475712594,0.8377631188397034,0.4944948384655067
H2GCN,clean_h0.618455,data\synthetic\exp7_matched_homophily\clean_h0.618455,0,0.6,64,0.01,0.0005,125,0.7274418604651163,0.5520188813064548,0.8504012829320612,0.5698352687482894
H2GCN,clean_h0.618455,data\synthetic\exp7_matched_homophily\clean_h0.618455,1,0.6,64,0.01,0.0005,156,0.7311039853412735,0.5725774478797219,0.8546934472196777,0.596167979439546
H2GCN,clean_h0.618455,data\synthetic\exp7_matched_homophily\clean_h0.618455,2,0.6,64,0.01,0.0005,111,0.7394957983193278,0.5578687193581915,0.8572428300332484,0.6004711141364585
H2GCN,clean_h0.574792,data\synthetic\exp7_matched_homophily\clean_h0.574792,0,0.6,64,0.01,0.0005,110,0.7320930232558139,0.5434860300856257,0.8530933634842212,0.5715910291519875
H2GCN,clean_h0.574792,data\synthetic\exp7_matched_homophily\clean_h0.574792,1,0.6,64,0.01,0.0005,173,0.7581310123683005,0.5949409236869182,0.8671039186378234,0.6375125581700993
H2GCN,clean_h0.574792,data\synthetic\exp7_matched_homophily\clean_h0.574792,2,0.6,64,0.01,0.0005,157,0.773109243697479,0.6133639897221415,0.8725226686929501,0.6407839085829272
H2GCN,clean_h0.52253,data\synthetic\exp7_matched_homophily\clean_h0.52253,0,0.6,64,0.01,0.0005,110,0.7413953488372093,0.5511899870420762,0.8637269505659881,0.5815479210198549
