model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,lambda0_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0_add1_h0.6,0,0.6,256,0.01,0.0005,299,0.5413953488372093,0.24569609947913867,0.6953580175177294,0.316900842180632
GCN,lambda0_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0_add1_h0.6,1,0.6,256,0.01,0.0005,299,0.5300045808520385,0.25384245466369976,0.6924886055235725,0.3253089016011004
GCN,lambda0_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0_add1_h0.6,2,0.6,256,0.01,0.0005,299,0.5424836601307189,0.24953748185972974,0.7068578348358259,0.32585462120234726
GCN,lambda0p25_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0p25_add1_h0.6,0,0.6,256,0.01,0.0005,299,0.5260465116279069,0.230704153205952,0.6769881716679644,0.2962688174348733
GCN,lambda0p25_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0p25_add1_h0.6,1,0.6,256,0.01,0.0005,299,0.515803939532753,0.2432240224230124,0.6765977918180921,0.3077023301650398
GCN,lambda0p25_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0p25_add1_h0.6,2,0.6,256,0.01,0.0005,299,0.5336134453781513,0.2401552399961479,0.6886292549803805,0.30814915066579407
GCN,lambda0p5_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0p5_add1_h0.6,0,0.6,256,0.01,0.0005,299,0.5251162790697674,0.2286356447617532,0.6733469087212447,0.2845768715298119
GCN,lambda0p5_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0p5_add1_h0.6,1,0.6,256,0.01,0.0005,299,0.5084745762711864,0.23625568333594224,0.6757878429622267,0.30734876946957823
GCN,lambda0p5_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0p5_add1_h0.6,2,0.6,256,0.01,0.0005,299,0.5256769374416433,0.23562449722369405,0.6853462850374191,0.30542363237153364
GCN,lambda0p75_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0p75_add1_h0.6,0,0.6,256,0.01,0.0005,299,0.521860465116279,0.22739145168538183,0.6712075312968918,0.2846690108409713
GCN,lambda0p75_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0p75_add1_h0.6,1,0.6,256,0.01,0.0005,299,0.5084745762711864,0.2367413194822237,0.6730415135078431,0.2993224702302061
GCN,lambda0p75_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0p75_add1_h0.6,2,0.6,256,0.01,0.0005,299,0.5210084033613446,0.23111927378807123,0.6772428529907546,0.2986741986024318
GCN,lambda1_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda1_add1_h0.6,0,0.6,256,0.01,0.0005,299,0.521860465116279,0.22691346829060155,0.672542452102004,0.2893761612132376
GCN,lambda1_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda1_add1_h0.6,1,0.6,256,0.01,0.0005,299,0.5061841502519469,0.23604593808745683,0.6807755239798006,0.3038309740461725
GCN,lambda1_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda1_add1_h0.6,2,0.6,256,0.01,0.0005,299,0.5280112044817927,0.23770261419369138,0.68093825629961,0.301655092907314
H2GCN,lambda0_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0_add1_h0.6,0,0.6,64,0.01,0.0005,146,0.6679069767441861,0.46398413857919324,0.8142319553379428,0.5154122655954209
H2GCN,lambda0_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0_add1_h0.6,1,0.6,64,0.01,0.0005,187,0.6669720568025653,0.47590923734795354,0.8290372432931636,0.5291260297089944
H2GCN,lambda0_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0_add1_h0.6,2,0.6,64,0.01,0.0005,198,0.6783380018674137,0.4913765535285484,0.8275695260124586,0.5283677563869749
H2GCN,lambda0p25_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0p25_add1_h0.6,0,0.6,64,0.01,0.0005,242,0.6753488372093023,0.46369537016041595,0.8164640490883801,0.5261670728060454
H2GCN,lambda0p25_add1_h0.6,data\synthetic\exp8_structured_heterophily\lambda0p25_add1_h0.6,1,0.6,64,0.01,0.0005,256,0.668346312414109,0.4707524316852874,0.8178970545649182,0.5204804977769071
